id,sessionid,title,abstract,authorname,authorbelongs,bookmark,star
1,WDB-01,HistoryPaper:ユーザー個人のブラウザ履歴からの代表ページ選択とマガジンスタイルレイアウト,NO DATA,松枝 知香,お茶の水女子大学大学院,0,1
2,WDB-02,電力使用時の多様な状況組み合わせが可能なDBを用いた状況別電力量の置き換え効果の提示,NO DATA,高橋 慶多,横浜国立大学,0,1
3,WDB-03,更新内容を即時反映可能なWebアプリケーション向け結合ビューライブラリとその実装,NO DATA,畑谷 卓哉,神戸大学,0,1
4,WDB-04,Webニュースからの漫才台本自動生成を用いたコミュニケーションロボット,NO DATA,真下 遼,甲南大学,0,1
5,WDB-05,購買ログを利用した消費者行動分析のための習慣度算出手法,NO DATA,林 亜紀,NTTサービスエボリューション研究所,0,1
6,WDB-06,大規模トラジェクトリのためのビット並列計算を用いた省メモリアルゴリズム,NO DATA,笹川 裕人,北海道大学,0,1
7,WDB-07,語義グラフを用いた整数線形計画法による語義曖昧性解消手法の提案,NO DATA,欅 惇志,東京工業大学,0,1
8,WDB-08,文章の内容と体裁に基づく商品レビューの有用さの推定,NO DATA,別所 暁秀,兵庫県立大学,0,1
9,WDB-09,少量学習データによる参考文献書誌情報抽出,NO DATA,川上 尚慶,岡山大学,0,1
10,WDB-10,過去の流行語を学習データに用いた流行先読みブロガー発見手法の提案,NO DATA,朝永 聖也,京都産業大学,0,1
11,WDB-11,ダイナミックトピックモデルを用いたTwitterユーザーの時間相関特徴の発見手法について,NO DATA,藤野 巖,東海大学,0,1
12,WDB-12,STAP問題に対するソーシャルメディアにおける反応の分析,NO DATA,鳥海 不二夫,東京大学,0,1
13,WDB-13,記事単位でブロガーの立場を推定する手法の提案,NO DATA,野呂 勇太,静岡大学,0,1
14,WDB-14,バースト時刻に基づくフォロー先ユーザ推定手法,NO DATA,山本 修平,筑波大学,0,1
15,WDB-15,場所による行動傾向の違いを考慮したトピックモデル,NO DATA,江崎 健司,日本電信電話株式会社　NTTサービスエボリューション研究所,0,1
16,WDB-16,携帯電話通信履歴に特化した移動状態及び滞在位置推定手法,NO DATA,小林 直,株式会社KDDI研究所,0,1
17,DBS-01,Wikipediaを用いたソーシャルメディアからの言語横断的な話題抽出システムの試作,NO DATA,中村 達哉,大阪大学大学院情報科学研究科,0,1
18,DBS-02,カテゴリ推定を用いた希少なWebページの推薦,NO DATA,山中 隆広,兵庫県立大学,0,1
19,DBS-03,類似度分析に基づく未知レシピへのメタデータ自動付与方式の実験的評価,NO DATA,高田 夏彦,京都産業大学コンピュータ理工学部,0,1
20,DBS-04,商品レビュー要約のための属性-意見ペア抽出,NO DATA,中野 裕介,兵庫県立大学,0,1
